id_user,name,surname,email,phone,location,dni,birth,picture
05f97d15-dd6d-4bc9-8463-7ad8001da89b,María,Rodríguez,mariarodriguez@whatthefish.info,5411786918188,"San Isidro, Buenos Aires, Argentina",37326160,1995-08-20,
27749d94-7f19-448f-bf23-0c1108d9a232,Carlos,González,carlosgonzalez@whatthefish.info,5411261812992,"Tigre, Buenos Aires, Argentina",22471163,1988-05-03,
18982ad1-6bf8-4e72-8504-fd2eca42a598,Ana,López,analopez@whatthefish.info,5411636734544,"Pilar, Buenos Aires, Argentina",40047796,2000-02-15,
5b1205a1-0d14-4df4-a1e5-6cf137e8770e,Lucía,Martínez,luciamartinez@whatthefish.info,5411361189621,"Escobar, Buenos Aires, Argentina",40208734,1990-11-25,
81b2e3fd-51f4-4b57-8217-9760f71d7cf1,Pedro,Fernández,pedrofernandez@whatthefish.info,5411233328760,"San Fernando, Buenos Aires, Argentina",28158580,1992-09-10,
355f0e5c-915d-4640-b2a6-b5dcdb4b1421,Luis,Gómez,luisgomez@whatthefish.info,5411672620514,"Vicente López, Buenos Aires, Argentina",33118096,1985-04-18,
157b609a-75be-43de-ad62-612f901eafd0,Julieta,Pérez,julietaperez@whatthefish.info,5411961700084,"Olivos, Buenos Aires, Argentina",30901069,1998-07-05,
12670c25-43d1-4525-892b-6ab0e75b965f,Roberto,Sánchez,robertosanchez@whatthefish.info,5411606240852,"Martínez, Buenos Aires, Argentina",31839623,1982-11-08,
9fa1164d-2a66-4620-82d7-2c738f36c8f2,Marcelo,Rojas,marcelorojas@whatthefish.info,5411526695281,"San Miguel, Buenos Aires, Argentina",20240964,1987-12-03,
b75bce7c-7df6-4e49-ab56-93d977c407bc,Mariano,López,marianolopez@whatthefish.info,5411789054892,"San Martín, Buenos Aires, Argentina",48756517,1983-06-17,
07ee6b76-1757-4232-9d88-39cd2e953efe,Miguel,Pérez,miguelperez@whatthefish.info,5411311757826,"Escobar, Buenos Aires, Argentina",44400652,1993-10-22,
7818f881-e559-4af7-8955-9a504d761dc5,Marta,García,martagarcia@whatthefish.info,5411020640518,"San Miguel, Buenos Aires, Argentina",44514408,1997-12-08,
47e115b2-71f0-4488-823e-04ccc11f7b10,Esteban,Quiroga,estebanquiroga@whatthefish.info,5411571225975,"Tandil, Buenos Aires, Argentina",35849839,1994-11-08,
6ff8abd6-66ce-400a-b902-9f95e771faa7,Mariano,Gutierrez,marianogutierrez@whatthefish.info,5411606084349,"Olavarría, Buenos Aires, Argentina",21444019,1996-04-27,
ebb4201d-dbde-43f1-b631-e1a5a4a05545,Sofía,Martinez,sofiamartinez@whatthefish.info,5411967877275,"Mar del Plata, Buenos Aires, Argentina",45829296,1998-02-14,
38cf7f65-868d-4b6d-b946-66fa480b0fb1,Carla,Reynoso,carlareynoso@whatthefish.info,5411624017154,"Bahía Blanca, Buenos Aires, Argentina",31954004,1995-05-21,
14168805-29f5-4f97-b17b-f67baeac0edf,Rodrigo,Lopez,rodrigolopez@whatthefish.info,5411460498700,"Pergamino, Buenos Aires, Argentina",32847645,1997-06-30,
582c732d-e112-4752-9162-1bf801ed5edc,Gabriel,Castro,gabrielcastro@whatthefish.info,5411795377155,"Necochea, Buenos Aires, Argentina",35064520,1999-01-15,
d7beeaaf-92c0-44e0-bf23-e44e92ba8b99,Elena,Pereyra,elenapereyra@whatthefish.info,5411420245730,"Quilmes, Buenos Aires, Argentina",45924057,1999-12-05,
0dc10cf4-673f-4b40-ac46-36be7da0289d,Federico,Mansilla,federicomansilla@whatthefish.info,5411990778034,"San Nicolás, Buenos Aires, Argentina",25810841,1999-08-22,
bd073867-ec41-4cbd-9391-ceec0e27e15d,Julieta,Rivero,julietarivero@whatthefish.info,5411299114274,"Tigre, Buenos Aires, Argentina",21412409,1999-10-07,
72f82789-a743-4e53-bd3b-b3df7ac0d0c8,Agustina,Ruiz,agustinaruiz@whatthefish.info,5411157010791,"Merlo, Buenos Aires, Argentina",42047438,1999-04-25,
