id_user,category,username,budget,location,description,coordinates
789ab4c5-85f2-4729-b14d-efb499687fad,Albañil,Maribel Gonzalez,11000,"Avellaneda, Provincia de Buenos Aires, Argentina","Busco Albañil en Avellaneda, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
52a444e8-cdb1-41ca-9594-91452e95c9ef,Bicicletero,Pablo Escrig,6500,"Palermo, Cdad. Autónoma de Buenos Aires, Argentina","Busco Bicicletero en Palermo, Cdad. Autónoma de Buenos Aires, Argentina",0101000000FCA886FD9E5441C0A4E194B9F92E4DC0
46aab454-9176-448d-b30e-abc88a7a2cd6,Repostero,Victorino Mateos,17000,"San Martín, Provincia de Buenos Aires, Argentina","Busco Repostero en San Martín, Provincia de Buenos Aires, Argentina",0101000000F2D077B7B20043C0607825C973C54CC0
3e7de143-f80b-4ce2-8df0-7a7c7eca89f5,Bicicletero,Silviu Parent,18000,"Campana, Provincia de Buenos Aires, Argentina","Busco Bicicletero en Campana, Provincia de Buenos Aires, Argentina",0101000000342BDB87BC4541C01EA8531EDD3A4DC0
974096fe-e2c0-490f-8012-7279e048a649,Piletero,Angel Gonzalez,14500,"San Fernando, Provincia de Buenos Aires, Argentina","Busco Piletero en San Fernando, Provincia de Buenos Aires, Argentina",0101000000CA8B4CC0AF3B41C0F08AE07F2B754DC0
3598a8b6-0a83-4a64-94e9-aee045c534ee,Técnico de aires acondicionados,Antonia Tejero,9000,"Belgrano, Cdad. Autónoma de Buenos Aires, Argentina","Busco Técnico de aires acondicionados en Belgrano, Cdad. Autónoma de Buenos Aires, Argentina",010100000082E2C798BB5641C0BA8102EFE4474DC0
6d63af0d-1e74-4956-8eaf-cf85e92daf73,Albañil,Daniel Arrizabalaga,17500,"Los Cardales, Provincia de Buenos Aires, Argentina","Busco Albañil en Los Cardales, Provincia de Buenos Aires, Argentina",0101000000448655BC915541C025E99AC9375D4DC0
c5d3dd67-e87b-4a97-bd34-6d3900df0c47,Bicicletero,Iñigo Salvo,11500,"Tigre, Provincia de Buenos Aires, Argentina","Busco Bicicletero en Tigre, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
1949cde9-6f19-401d-9c25-bec17d3054e8,Jardinero,Manuel Peña,12000,"Avellaneda, Provincia de Buenos Aires, Argentina","Busco Jardinero en Avellaneda, Provincia de Buenos Aires, Argentina",010100000048C2BE9D443C41C09DD7D825AA434DC0
faf5278b-e9a3-4a94-98f8-2a4a658691c3,Carpintero,Gerard Velasco,17000,"Lanús, Provincia de Buenos Aires, Argentina","Busco Carpintero en Lanús, Provincia de Buenos Aires, Argentina",0101000000CA8B4CC0AF3B41C0F08AE07F2B754DC0
1064a221-6ada-4a79-8216-b3dfcb1f4b98,Carpintero,Eugenio Lopez,19000,"Los Cardales, Provincia de Buenos Aires, Argentina","Busco Carpintero en Los Cardales, Provincia de Buenos Aires, Argentina",0101000000CBBC55D7A15241C0A33A1DC87A424DC0
b61f12ad-62d1-40ca-bc5b-8c8914ab72b1,Técnico de heladeras,Leticia Martinez,11000,"San Isidro, Provincia de Buenos Aires, Argentina","Busco Técnico de heladeras en San Isidro, Provincia de Buenos Aires, Argentina",0101000000A86DC328082A41C0098CF50D4C7E4DC0
dee5ea40-ef02-4d95-93cc-da81880aa03f,Personal de limpieza,Victor Fernando Marin,17500,"Mar del Plata, Provincia de Buenos Aires, Argentina","Busco Personal de limpieza en Mar del Plata, Provincia de Buenos Aires, Argentina",0101000000448655BC915541C025E99AC9375D4DC0
96aebb49-c4e7-4350-8d50-5467d7f55e12,Bicicletero,Maria Mar Sanchez,10500,"Merlo, Provincia de Buenos Aires, Argentina","Busco Bicicletero en Merlo, Provincia de Buenos Aires, Argentina",01010000007061DD78775A41C04703780B24324DC0
ee714460-80d9-4f2e-ad9d-4d7a09956dae,Bicicletero,Maria Carmen Lopez,8000,"Palermo, Cdad. Autónoma de Buenos Aires, Argentina","Busco Bicicletero en Palermo, Cdad. Autónoma de Buenos Aires, Argentina",010100000048C2BE9D443C41C09DD7D825AA434DC0
d3a14da9-2b73-41ad-a7c5-7ef450c9f081,Cerrajero,Fatima Martinez,7000,"Tigre, Provincia de Buenos Aires, Argentina","Busco Cerrajero en Tigre, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
c59a9617-88a8-43de-a99d-528fd1a024a8,Gasista,Constantino Fraile,18000,"Mar del Plata, Provincia de Buenos Aires, Argentina","Busco Gasista en Mar del Plata, Provincia de Buenos Aires, Argentina",0101000000CBBC55D7A15241C0A33A1DC87A424DC0
9ddc845a-4095-4ec5-923f-bc8b17a34ee8,Repostero,Manuela Barreiro,8500,"Belén de Escobar, Provincia de Buenos Aires, Argentina","Busco Repostero en Belén de Escobar, Provincia de Buenos Aires, Argentina",010100000029EB3713D37541C0047289230FFA4CC0
9c3504d6-5e07-43d6-b153-f3371392b808,Repostero,Francisco Javier Graña,13000,"Campana, Provincia de Buenos Aires, Argentina","Busco Repostero en Campana, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
ce9401f7-a599-4743-8af6-432e4a340326,Electricista,Maria Aurea Benavides,16000,"Pilar, Provincia de Buenos Aires, Argentina","Busco Electricista en Pilar, Provincia de Buenos Aires, Argentina",0101000000D671FC50693641C0DB3521AD314A4DC0
0cb75e32-9638-48b0-8791-0fe1f3869f98,Herrero,Luis Ramos,12500,"Lanús, Provincia de Buenos Aires, Argentina","Busco Herrero en Lanús, Provincia de Buenos Aires, Argentina",0101000000ECDADE6E492C41C07958A835CD654DC0
4c52ff52-3d80-4ea5-b827-c21daf5597e0,Electricista,Soledad Cordon,5500,"Liniers, Cdad. Autónoma de Buenos Aires, Argentina","Busco Electricista en Liniers, Cdad. Autónoma de Buenos Aires, Argentina",0101000000A86DC328082A41C0098CF50D4C7E4DC0
c1383ac9-439a-4f74-bddb-ae5631ed6348,Herrero,Javier Romero,16000,"Tigre, Provincia de Buenos Aires, Argentina","Busco Herrero en Tigre, Provincia de Buenos Aires, Argentina",0101000000D671FC50693641C0DB3521AD314A4DC0
720c4991-607d-46db-a137-5bdb0c58a0a0,Técnico de motos,Gonzalo Lavilla,19500,"Liniers, Cdad. Autónoma de Buenos Aires, Argentina","Busco Técnico de motos en Liniers, Cdad. Autónoma de Buenos Aires, Argentina",0101000000CBBC55D7A15241C0A33A1DC87A424DC0
1de92a2a-2587-4aed-9f34-a286756752ed,Técnico de motos,Dolores Navarro,15500,"Campana, Provincia de Buenos Aires, Argentina","Busco Técnico de motos en Campana, Provincia de Buenos Aires, Argentina",01010000007061DD78775A41C04703780B24324DC0
6a74879a-6393-4891-b4c5-e146ed3ccf1c,Albañil,Oscar Senra,19000,"Lomas de Zamora, Provincia de Buenos Aires, Argentina","Busco Albañil en Lomas de Zamora, Provincia de Buenos Aires, Argentina",0101000000D671FC50693641C0DB3521AD314A4DC0
ffdb3d50-cf8a-4128-afb5-759244bc04ee,Herrero,Victor Lage,8500,"La Matanza, Provincia de Buenos Aires, Argentina","Busco Herrero en La Matanza, Provincia de Buenos Aires, Argentina",010100000055F833BC594141C0193A7650893F4DC0
79a31dc4-6183-49b7-9d48-287948fb3a19,Gasista,Ian Salazar,11500,"San Isidro, Provincia de Buenos Aires, Argentina","Busco Gasista en San Isidro, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
9c0fb513-c62f-4e6f-aaba-5749596ea38e,Pintor,Saturnino Rodriguez,10000,"Tigre, Provincia de Buenos Aires, Argentina","Busco Pintor en Tigre, Provincia de Buenos Aires, Argentina",010100000029EB3713D37541C0047289230FFA4CC0
66bca5b4-8d72-43a5-9041-7cd617003541,Técnico de autos,Cristian Martinez,5500,"Los Cardales, Provincia de Buenos Aires, Argentina","Busco Técnico de autos en Los Cardales, Provincia de Buenos Aires, Argentina",010100000066DCD440F34741C0596DFE5F753A4DC0
ded3c150-3251-4374-9d43-f2d189b54347,Técnico de motos,Rosario Oliva,19500,"Avellaneda, Provincia de Buenos Aires, Argentina","Busco Técnico de motos en Avellaneda, Provincia de Buenos Aires, Argentina",010100000055F833BC594141C0193A7650893F4DC0
acbd74f3-aab0-4037-baf1-bcde2547352a,Jardinero,Agapito Santana,16500,"Belén de Escobar, Provincia de Buenos Aires, Argentina","Busco Jardinero en Belén de Escobar, Provincia de Buenos Aires, Argentina",0101000000ECDADE6E492C41C07958A835CD654DC0
